emp_no,first_name,last_name,dept_name,to_date
33408,Shigeo,Denis,Production,9999-01-01
33423,Jinpo,Koblick,Sales,9999-01-01
33427,Shalesh,Mitsuhashi,Production,9999-01-01
33427,Shalesh,Mitsuhashi,Development,1999-12-29
33470,Nechama,Potthoff,Production,1995-12-11
33470,Nechama,Potthoff,Customer Service,9999-01-01
33472,Hsiangchu,Chvatal,Production,9999-01-01
33477,Shietung,Ventosa,Finance,9999-01-01
33494,Limsoon,Gihr,Production,9999-01-01
33510,Shaibal,Christ,Development,9999-01-01
33512,Raimond,Biran,Quality Management,9999-01-01
33518,Perla,Birsak,Development,9999-01-01
33530,Toney,Garigliano,Development,9999-01-01
33555,Wojceich,Kawashima,Sales,9999-01-01
33562,Shigenori,Zobel,Development,9999-01-01
33563,Sastry,Akazan,Human Resources,9999-01-01
33574,Mabhin,McAffer,Production,9999-01-01
33579,Guozhong,Eickenmeyer,Sales,9999-01-01
33591,Sugwoo,Picaronny,Customer Service,9999-01-01
33619,Brendon,Hardjono,Production,9999-01-01
33628,Macha,Ritcey,Production,9999-01-01
33628,Macha,Ritcey,Development,1989-02-18
33631,Tonny,Ozeri,Sales,9999-01-01
33648,Giri,Denos,Production,9999-01-01
33649,Danil,Peng,Production,9999-01-01
33652,Nimmagadda,Bridgland,Quality Management,9999-01-01
33655,Zvonko,Lovengreen,Development,9999-01-01
33675,Wojceich,Lichtman,Development,1995-07-22
33675,Wojceich,Lichtman,Research,9999-01-01
33696,Danny,Famili,Development,9999-01-01
33698,Mohan,Dalton,Sales,9999-01-01
33702,Selwyn,Nannarelli,Human Resources,9999-01-01
33727,Uno,Highland,Sales,9999-01-01
33736,DeForest,Koyama,Development,9999-01-01
33743,Bodh,Junet,Customer Service,9999-01-01
33748,Bernt,Argence,Production,9999-01-01
33767,Dekang,Kenevan,Development,9999-01-01
33768,Karoline,Fontan,Customer Service,9999-01-01
33784,Alenka,Mandelberg,Human Resources,9999-01-01
33787,Malu,Kriebel,Development,9999-01-01
33792,Ashish,Nitsche,Production,9999-01-01
33799,Kellie,Doering,Research,9999-01-01
33800,Peternela,Bottner,Human Resources,9999-01-01
33812,Patricio,Basawa,Sales,9999-01-01
33838,Adit,Ranai,Sales,9999-01-01
33852,Marek,Prochazka,Sales,9999-01-01
33857,Hidefumi,Gulla,Production,9999-01-01
33871,Vivian,Erdmenger,Marketing,9999-01-01
33894,Harngdar,Bratten,Finance,9999-01-01
33907,Jaihie,Kisuki,Marketing,9999-01-01
33913,Niteen,Binkley,Sales,9999-01-01
33923,Chinhyun,Argence,Finance,9999-01-01
33927,Bezalel,Haumacher,Development,9999-01-01
33983,Tesuya,Denis,Production,9999-01-01
33991,Zeydy,Makrucki,Marketing,9999-01-01
33996,Subbu,Olivero,Research,9999-01-01
33998,Apostol,Polupanov,Development,9999-01-01
34006,Perry,Cairo,Production,9999-01-01
34013,Gad,Dolinsky,Production,9999-01-01
34025,Shridhar,Bridgland,Human Resources,9999-01-01
34028,Heejo,Kieras,Production,9999-01-01
34028,Heejo,Kieras,Quality Management,1991-01-22
34030,Nobuyoshi,Rodiger,Sales,9999-01-01
34032,Weiwu,Gopalakrishnan,Production,9999-01-01
34049,Tadanori,Brookner,Sales,1988-11-12
34049,Tadanori,Brookner,Customer Service,9999-01-01
34050,Youjian,Angot,Finance,9999-01-01
34051,Jordanka,Motley,Development,9999-01-01
34052,Bojan,Decaestecker,Finance,9999-01-01
34070,Sivanarayana,Champarnaud,Development,9999-01-01
34075,Chaosheng,Peternell,Research,9999-01-01
34082,Yechiam,Jakobus,Development,9999-01-01
34112,Nirmal,Kinley,Production,9999-01-01
34122,DeForest,Rossi,Quality Management,9999-01-01
34129,Takanari,Kolinko,Development,9999-01-01
34130,Mahendra,Perry,Development,9999-01-01
34143,Gay,Beilner,Development,9999-01-01
34150,Leen,Miculan,Sales,9999-01-01
34151,Guttorm,Reinhard,Research,9999-01-01
34158,Mohammed,Syrotiuk,Sales,9999-01-01
34166,Naftali,Rahimi,Development,9999-01-01
34176,Waiman,Plessier,Production,9999-01-01
34180,Ger,McClure,Production,9999-01-01
34180,Ger,McClure,Development,1994-12-13
34184,Shiv,Klassen,Development,9999-01-01
34203,Pragnesh,Tramer,Finance,9999-01-01
34207,Pohua,Bernardeschi,Production,1995-03-17
34207,Pohua,Bernardeschi,Customer Service,9999-01-01
34208,Rosine,Tsunoo,Development,9999-01-01
34215,Otilia,Pietrzykowski,Sales,9999-01-01
34231,Sachar,Emiris,Production,9999-01-01
34241,Remco,Ariola,Sales,9999-01-01
34254,Moon,Marletta,Production,2000-10-15
34254,Moon,Marletta,Quality Management,9999-01-01
34257,Xiaoqiang,Roisin,Development,9999-01-01
34258,Anestis,Talmor,Finance,9999-01-01
34268,Soenke,Kitai,Production,9999-01-01
34277,Vatsa,Weedman,Production,9999-01-01
34304,Arvind,Gulik,Customer Service,9999-01-01
34329,Goo,Bernatsky,Production,9999-01-01
34333,Jaihie,Luef,Finance,9999-01-01
34334,Stafford,Veevers,Production,9999-01-01
34336,Honesty,Schurmann,Production,9999-01-01
34338,Hairong,Emden,Development,2001-02-23
34338,Hairong,Emden,Research,9999-01-01
34354,Kristen,Acton,Marketing,9999-01-01
34358,Jaihie,Dulin,Development,9999-01-01
34368,Wonhee,Ranon,Research,9999-01-01
34377,Hidde,Menhoudj,Development,9999-01-01
34382,Kayoko,Ravishankar,Sales,9999-01-01
34385,Maja,Walston,Production,9999-01-01
34401,Uno,Lanteri,Production,9999-01-01
34406,Yefim,Mitsuhashi,Sales,9999-01-01
34417,Gio,Flexer,Research,9999-01-01
34482,Jouko,Lortz,Marketing,9999-01-01
34489,Yaghout,Krychniak,Human Resources,9999-01-01
34522,Sibyl,Rijckaert,Production,1999-01-10
34522,Sibyl,Rijckaert,Customer Service,9999-01-01
34536,Danil,Narahari,Development,9999-01-01
34538,Pranjal,Rossi,Development,9999-01-01
34550,Szabolcs,Borstler,Marketing,9999-01-01
34552,Souichi,Llado,Marketing,9999-01-01
34552,Souichi,Llado,Sales,1997-10-09
34564,Shao,Suomi,Production,9999-01-01
34578,Jahangir,Baaz,Development,9999-01-01
34584,Uzi,Chartres,Finance,9999-01-01
34587,Duri,Perna,Production,9999-01-01
34597,Jouko,Bolotov,Sales,9999-01-01
34599,Insup,Peltason,Quality Management,9999-01-01
34600,Godehard,Middleton,Sales,9999-01-01
34602,Garnet,Flasterstein,Production,9999-01-01
34605,Arunachalam,Middleton,Development,9999-01-01
34610,Xinan,Ranum,Production,1998-01-21
34610,Xinan,Ranum,Customer Service,9999-01-01
34626,Udi,McConalogue,Development,9999-01-01
34630,Xiaoshan,Whittlesey,Marketing,9999-01-01
34632,Licheng,Clouatre,Development,9999-01-01
34641,Cathie,Jervis,Production,9999-01-01
34647,Kerryn,Tiemann,Development,9999-01-01
34651,Youngkon,Leaver,Research,9999-01-01
34661,Kiyokazu,Burnard,Production,9999-01-01
34670,Mihalis,Diderrich,Development,9999-01-01
34673,Unal,Pews,Marketing,9999-01-01
34690,Beshir,Litzkow,Development,9999-01-01
34695,Margareta,Gadepally,Finance,9999-01-01
34704,Jaques,Usery,Production,9999-01-01
34709,Anneli,Kragelund,Customer Service,9999-01-01
34726,Shridhar,Emmart,Sales,9999-01-01
34730,Jiong,Terwilliger,Customer Service,9999-01-01
34754,Maren,Llado,Sales,1998-02-26
34754,Maren,Llado,Customer Service,9999-01-01
34759,Youngkon,Petersohn,Production,9999-01-01
34790,Uma,Krohn,Human Resources,9999-01-01
34793,Monique,Huhdanpaa,Production,9999-01-01
34805,Marek,Siksek,Development,9999-01-01
34814,Rajmohan,Tsukune,Marketing,9999-01-01
34816,Chenyi,Schreiter,Quality Management,9999-01-01
34827,Heng,Apsitis,Marketing,9999-01-01
34839,Henk,Kermarrec,Sales,9999-01-01
34857,Weicheng,Birrer,Production,9999-01-01
34857,Weicheng,Birrer,Development,1994-05-05
34873,Ingmar,Ruemmler,Production,9999-01-01
34882,Christophe,Suppi,Research,9999-01-01
34915,Christ,Tetzlaff,Sales,9999-01-01
34928,Anwar,Flexer,Development,9999-01-01
34938,Macha,Penz,Quality Management,9999-01-01
34947,Mario,Perfilyeva,Research,9999-01-01
34958,Goetz,Oberman,Human Resources,9999-01-01
34960,Vasilis,Luga,Sales,1998-05-25
34960,Vasilis,Luga,Customer Service,9999-01-01
34961,Uno,Dolinsky,Sales,9999-01-01
34962,Adly,Rosay,Production,9999-01-01
34987,Rosella,Ariola,Production,9999-01-01
34996,Chinhyun,Butner,Production,9999-01-01
34999,Shim,Narwekar,Development,9999-01-01
35011,Charmane,Vernadat,Marketing,9999-01-01
35012,Noritoshi,Krybus,Sales,9999-01-01
35016,Dinah,Awdeh,Development,9999-01-01
35031,Horward,Pearson,Quality Management,9999-01-01
35042,Nahid,Servieres,Sales,9999-01-01
35045,Tooru,Hagimont,Production,9999-01-01
35046,Sachem,Luders,Sales,9999-01-01
35059,Vitaly,Flasterstein,Development,9999-01-01
35070,Kirk,Masada,Development,9999-01-01
35072,Kagan,Sridhar,Production,9999-01-01
35085,Chandrasekaran,Goldhammer,Finance,9999-01-01
35089,Paris,Lanzelotte,Development,9999-01-01
35093,Sverrir,Mateescu,Marketing,9999-01-01
35096,Gaetan,Olivero,Development,9999-01-01
35110,Reinhold,Speckmann,Production,2001-12-02
35110,Reinhold,Speckmann,Customer Service,9999-01-01
35123,Yechezkel,Schaaf,Development,9999-01-01
35138,Susuma,Boreale,Development,9999-01-01
35142,Conor,Uhrig,Development,9999-01-01
35146,Kasturi,Cummings,Production,9999-01-01
35158,Anestis,Pramanik,Quality Management,9999-01-01
35159,Mohammad,Demke,Production,9999-01-01
35159,Mohammad,Demke,Research,2000-04-26
35182,Uinam,Eldridge,Development,9999-01-01
35216,Aleksander,Karnin,Production,9999-01-01
35226,Byong,Felcyn,Development,9999-01-01
35256,Wojceich,McDermid,Marketing,9999-01-01
35273,Zsolt,Mitsuhashi,Marketing,1997-12-06
35273,Zsolt,Mitsuhashi,Sales,9999-01-01
35287,Yucel,Conta,Customer Service,9999-01-01
35298,Houman,Esteva,Quality Management,9999-01-01
35300,Chuanti,Chenoweth,Development,1996-10-29
35300,Chuanti,Chenoweth,Research,9999-01-01
35329,Goetz,Lukaszewicz,Marketing,9999-01-01
35331,Basim,Ghazalie,Production,9999-01-01
35333,Hideyuki,Veldwijk,Quality Management,9999-01-01
35342,Elvis,Potthoff,Development,9999-01-01
35352,Koldo,Kilgour,Development,9999-01-01
35363,Odoardo,England,Human Resources,9999-01-01
35365,Divier,Quadeer,Customer Service,9999-01-01
35371,Arup,Chleq,Development,9999-01-01
35394,Shmuel,Muchinsky,Human Resources,9999-01-01
35416,Heather,Wroclawski,Customer Service,9999-01-01
35418,Mircea,Unni,Marketing,9999-01-01
35423,Moss,Caine,Development,9999-01-01
35425,Hinrich,Desikan,Development,9999-01-01
35429,Cathie,Ducloy,Production,9999-01-01
35440,Paloma,Xiaoshan,Production,9999-01-01
35451,Jinya,Naudin,Customer Service,9999-01-01
35470,Satoru,Ranai,Development,9999-01-01
35476,Frederique,Heinisuo,Sales,1995-02-28
35476,Frederique,Heinisuo,Customer Service,9999-01-01
35484,Jeane,Gire,Production,9999-01-01
35485,Margo,Tyugu,Production,1996-07-23
35485,Margo,Tyugu,Customer Service,9999-01-01
35489,Jeanne,Godskesen,Research,9999-01-01
35495,Monique,Lichtner,Production,9999-01-01
35501,Gretta,Scharstein,Development,9999-01-01
35510,JoAnne,Merks,Production,9999-01-01
35550,Van,Hutton,Marketing,2001-11-11
35550,Van,Hutton,Sales,9999-01-01
35552,Sungwon,Cangellaris,Development,9999-01-01
35554,Aran,Bahl,Human Resources,9999-01-01
35557,Rosalyn,Cooman,Production,9999-01-01
35558,Kshitij,Staudhammer,Sales,9999-01-01
35567,Sorina,Menhardt,Production,9999-01-01
35570,Baocai,Katzenelson,Development,9999-01-01
35584,Gift,DasSarma,Production,9999-01-01
35589,Kyoichi,Trystram,Development,9999-01-01
35592,Arun,Chleq,Production,9999-01-01
35610,Aruna,Kornyak,Finance,9999-01-01
35617,Guozhong,Yemenis,Development,9999-01-01
35618,Arie,Auyong,Development,9999-01-01
35626,Yishay,Axelband,Development,9999-01-01
35635,Ekawit,Cangellaris,Customer Service,9999-01-01
35640,Chriss,Lanphier,Production,9999-01-01
35644,Sreekrishna,Heusch,Human Resources,9999-01-01
35648,Dharmaraja,Schaaf,Human Resources,9999-01-01
35659,Gro,Armand,Sales,2002-01-17
35659,Gro,Armand,Customer Service,9999-01-01
35666,Munehiko,Narwekar,Production,9999-01-01
35681,Luise,Roisin,Production,1991-01-17
35681,Luise,Roisin,Customer Service,9999-01-01
35706,Gererd,Schwabacher,Development,9999-01-01
35736,Tonny,Pargas,Development,9999-01-01
35755,Xudong,Zultner,Development,1992-05-30
35755,Xudong,Zultner,Research,9999-01-01
35776,Martien,Fujisaki,Production,9999-01-01
35780,Duro,Tyugu,Sales,9999-01-01
35788,Weiyi,Burnard,Research,9999-01-01
35790,Barry,Ramsey,Quality Management,9999-01-01
35797,Emran,Hiroyama,Development,9999-01-01
35827,Kazuhisa,Azumi,Finance,9999-01-01
35830,Magy,McFarlan,Development,9999-01-01
35832,Elzbieta,Smeets,Production,9999-01-01
35860,Conrado,Zschoche,Development,9999-01-01
35865,Claudi,Fujisaki,Development,9999-01-01
35882,Sushant,Hambrick,Production,9999-01-01
35887,Heather,Wrigley,Production,9999-01-01
35891,Bokyung,Birnbaum,Production,9999-01-01
35892,Ghassan,Olivero,Research,9999-01-01
35902,Mayuko,Christ,Production,9999-01-01
35916,Wonhee,Talmon,Development,9999-01-01
35919,Doowon,Jervis,Marketing,9999-01-01
35939,Hiroyasu,Demri,Sales,9999-01-01
35960,Adam,Danlos,Sales,9999-01-01
35979,Alenka,Stanfel,Customer Service,9999-01-01
35983,Shigehiro,Plavsic,Finance,9999-01-01
35991,Gurbir,Crelier,Human Resources,9999-01-01
35994,Ibibia,Conia,Production,9999-01-01
36000,Weidon,Genin,Production,1989-09-07
36000,Weidon,Genin,Customer Service,9999-01-01
36002,Moto,Siepmann,Finance,9999-01-01
36009,Pranjal,Gonthier,Production,1991-08-02
36009,Pranjal,Gonthier,Quality Management,9999-01-01
36023,Uma,Picaronny,Production,9999-01-01
36032,Mikhail,Luck,Sales,9999-01-01
36042,Chaitali,Prochazka,Sales,9999-01-01
36043,Fai,Rubsam,Finance,9999-01-01
36048,Isaac,Marrakchi,Development,9999-01-01
36055,Changho,Rubsam,Sales,9999-01-01
36073,Shirish,Gire,Sales,9999-01-01
36080,Sachar,Grabner,Human Resources,9999-01-01
36088,Conor,Gajiwala,Human Resources,9999-01-01
36109,Masaki,Farrag,Development,9999-01-01
36131,Theron,Badache,Production,9999-01-01
36137,Fai,Famili,Finance,9999-01-01
36147,Richard,Syrotiuk,Marketing,9999-01-01
36159,Theron,Glinert,Development,9999-01-01
36173,Rance,Takkinen,Production,9999-01-01
36174,Saeko,Escriba,Development,9999-01-01
36178,Bernt,Valette,Sales,9999-01-01
36197,Adamantios,Eppinger,Customer Service,9999-01-01
36205,Kwangjo,Falco,Sales,1999-08-12
36205,Kwangjo,Falco,Customer Service,9999-01-01
36223,Fuqing,Cooley,Production,9999-01-01
36230,Khatoun,Borovoy,Customer Service,9999-01-01
36235,Rajmohan,Rebaine,Quality Management,9999-01-01
36246,Kaijung,Cummings,Development,9999-01-01
36251,Kenroku,Seiwald,Marketing,9999-01-01
36251,Kenroku,Seiwald,Human Resources,1999-05-08
36266,Elvia,Fujisaki,Marketing,9999-01-01
36272,Valeri,Alencar,Production,9999-01-01
36303,Amstein,Anandan,Development,9999-01-01
36309,Shawna,Badr,Production,9999-01-01
36311,Jahangir,Burnard,Finance,9999-01-01
36340,Xiaoqiu,Speek,Development,9999-01-01
36349,Aloys,Ladret,Marketing,9999-01-01
36355,Aleksandar,Alblas,Development,9999-01-01
36368,Shaibal,Farris,Production,9999-01-01
36390,Randi,Potthoff,Human Resources,9999-01-01
36410,Navin,Steenbeek,Sales,9999-01-01
36412,Abdulah,Senzako,Research,9999-01-01
36428,Izaskun,Verhaegen,Human Resources,9999-01-01
36441,Dekang,Pearson,Development,9999-01-01
36445,Sudharsan,Ellozy,Marketing,9999-01-01
36463,Chanjung,Burnard,Marketing,9999-01-01
36491,Margareta,Luon,Development,9999-01-01
36503,Somnath,Lundstrom,Production,9999-01-01
36516,Qiwen,Piazza,Development,9999-01-01
36525,Dinkar,Aseltine,Development,9999-01-01
36529,Toong,Bage,Finance,9999-01-01
36536,Alair,Miara,Production,9999-01-01
36537,Adin,Kawashima,Development,9999-01-01
36539,Gopalakrishnan,Farrar,Production,9999-01-01
36542,Sibyl,Dredge,Production,9999-01-01
36555,Takahiro,Rothenberg,Marketing,9999-01-01
36555,Takahiro,Rothenberg,Sales,2000-02-17
36573,Xuedong,Lakshmanan,Production,9999-01-01
36591,Heeju,Goodrum,Sales,9999-01-01
36599,Genevieve,Munck,Development,9999-01-01
36603,Heon,Unno,Production,1996-03-15
36603,Heon,Unno,Customer Service,9999-01-01
36617,Xiaobin,Sullins,Development,9999-01-01
36620,Arno,Itzigehl,Sales,9999-01-01
36622,Ashish,Rubsam,Quality Management,9999-01-01
36625,Tetsushi,Unni,Human Resources,9999-01-01
36627,Mary,Quadeer,Production,9999-01-01
36640,Suebskul,Masand,Production,9999-01-01
36660,Uli,Potthoff,Customer Service,9999-01-01
36688,Cristinel,Mateescu,Development,9999-01-01
36692,Bedir,Guerreiro,Development,9999-01-01
36698,Aksel,Shackel,Marketing,9999-01-01
36698,Aksel,Shackel,Sales,1990-12-24
36705,Zissis,Berztiss,Development,9999-01-01
36709,Tsuneo,Hettesheimer,Development,9999-01-01
36718,Amabile,Walston,Production,9999-01-01
36722,Samphel,Zirintsis,Production,9999-01-01
36727,Zhaofang,Greibach,Development,9999-01-01
36738,Valeri,Haddadi,Customer Service,9999-01-01
36754,Fumiko,Negoita,Production,9999-01-01
36760,Fumiyo,Norsworthy,Development,9999-01-01
36761,Zeljko,Hinsberger,Development,9999-01-01
36777,Kristen,Rissland,Production,9999-01-01
36780,Annemarie,Schnabel,Development,9999-01-01
36783,Gro,Bugrara,Human Resources,9999-01-01
36788,Kwee,Ulupinar,Development,9999-01-01
36795,Nidapan,Einsfeld,Sales,9999-01-01
36799,Tetsushi,Murtagh,Development,9999-01-01
36810,Fox,Schach,Finance,9999-01-01
36819,Tadahiro,Parveen,Sales,9999-01-01
36843,Masali,Gopalakrishnan,Development,9999-01-01
36859,Lalit,Delgrande,Development,9999-01-01
36870,Jianhao,Luff,Development,9999-01-01
36871,Yechezkel,Gecsei,Production,9999-01-01
36871,Yechezkel,Gecsei,Development,1994-09-14
36874,Genki,Aloia,Sales,9999-01-01
36877,Shahaf,Ranst,Sales,9999-01-01
36880,Dzung,Setlzner,Sales,2000-09-12
36880,Dzung,Setlzner,Customer Service,9999-01-01
36895,Abdulla,Ozeri,Development,9999-01-01
36906,Anoosh,Kornyak,Production,9999-01-01
36916,Aleksandar,Danlos,Human Resources,9999-01-01
36917,Kolar,Karunanithi,Development,9999-01-01
36918,Howell,Shimshoni,Production,9999-01-01
36918,Howell,Shimshoni,Development,1991-09-12
36923,Parviz,Jeong,Quality Management,9999-01-01
36930,Sadegh,Vasanthakumar,Development,9999-01-01
36942,Hairong,Coney,Customer Service,9999-01-01
36949,Xuejun,Schaad,Customer Service,9999-01-01
36951,Caolyn,Hoppenstand,Production,9999-01-01
36953,Lihong,Butner,Sales,9999-01-01
36959,Morrie,Jenevein,Customer Service,9999-01-01
36961,Qiwen,Thorelli,Production,9999-01-01
36965,Yechiam,Munch,Development,9999-01-01
36967,Shigehiro,Kuzuoka,Research,9999-01-01
36968,Shin,Siprelle,Sales,9999-01-01
36986,Fabrizio,Lalonde,Production,9999-01-01
36987,Brigham,Erde,Sales,9999-01-01
36999,Arunas,Range,Research,9999-01-01
37006,Steve,Staelin,Customer Service,9999-01-01
37023,Shiv,Flasterstein,Production,9999-01-01
37039,Dinah,Diderrich,Production,9999-01-01
37048,Fai,Eldridge,Development,9999-01-01
37053,Tooru,Peron,Production,9999-01-01
37060,Somnath,Morrey,Research,9999-01-01
37066,Moie,Himler,Human Resources,9999-01-01
37068,Xiaoqiang,Delgrande,Sales,9999-01-01
37075,Kwangjo,Zockler,Development,9999-01-01
37076,Yechezkel,Lichtner,Production,1987-03-14
37076,Yechezkel,Lichtner,Customer Service,9999-01-01
37082,Munehiro,Zastre,Development,9999-01-01
37087,Claudi,Angel,Sales,9999-01-01
37100,Jaber,Waeselynck,Development,9999-01-01
37101,Jaewon,Pappas,Sales,9999-01-01
37103,Kazuhira,Pileggi,Development,9999-01-01
37117,Fumiko,Munoz,Production,9999-01-01
37120,Kasidit,Masada,Development,9999-01-01
37121,Salvador,Byoun,Production,2002-01-21
37121,Salvador,Byoun,Quality Management,9999-01-01
37131,Conor,Koblitz,Development,2001-10-14
37131,Conor,Koblitz,Research,9999-01-01
37141,Zhigen,Meriste,Customer Service,9999-01-01
37151,Leaf,Biros,Development,9999-01-01
37164,Fuqing,Coney,Production,9999-01-01
37166,Xiaobin,Pfau,Production,9999-01-01
37171,Nathalie,Lorys,Development,9999-01-01
37176,Panayotis,Daescu,Production,9999-01-01
37179,Khun,Eterovic,Human Resources,9999-01-01
37186,Maha,Feinberg,Research,9999-01-01
37231,Vidya,Leonhardt,Finance,1996-02-22
37231,Vidya,Leonhardt,Sales,9999-01-01
37236,Ranan,Luby,Sales,9999-01-01
37245,Along,Gyimothy,Sales,9999-01-01
37259,Gen,Tanemo,Production,9999-01-01
37260,Sham,Fontan,Marketing,9999-01-01
37263,Aris,Rotem,Sales,9999-01-01
37265,Bokyung,Ellozy,Development,1998-05-08
37265,Bokyung,Ellozy,Research,9999-01-01
37267,Itzchak,Falster,Sales,9999-01-01
37270,Deborah,Bharadwaj,Development,9999-01-01
37281,Gita,Fontan,Finance,9999-01-01
37296,Arno,Zaccaria,Human Resources,9999-01-01
37303,Rasikan,Piancastelli,Finance,9999-01-01
37305,Mitchel,Restivo,Human Resources,9999-01-01
37306,Mingzeng,Braunschweig,Human Resources,9999-01-01
37311,Lihong,Eickenmeyer,Human Resources,9999-01-01
37312,Arie,Gecsei,Sales,9999-01-01
37318,Alejandro,Isard,Sales,9999-01-01
37343,Geoff,Kleiser,Sales,9999-01-01
37348,Zhiguo,Ratzlaff,Sales,9999-01-01
37359,Sangeeta,Karnin,Finance,9999-01-01
37372,Dietrich,Peot,Sales,9999-01-01
37383,Roddy,Chepyzhov,Customer Service,9999-01-01
37388,Ziya,Ramamoorthy,Development,9999-01-01
37406,Rildo,Cincotta,Development,9999-01-01
37407,Danae,Cochrane,Development,9999-01-01
37413,Jagoda,Gill,Development,9999-01-01
37424,Bogdan,Perri,Production,9999-01-01
37432,Gino,Dichev,Customer Service,9999-01-01
37438,Hinrich,Delgrossi,Quality Management,9999-01-01
37442,Subhada,Lipner,Marketing,9999-01-01
37452,Wanqing,Weiland,Customer Service,9999-01-01
37454,KayLiang,Bernardeschi,Sales,9999-01-01
37463,Lihong,Nittel,Finance,9999-01-01
37466,Mabhin,Barinka,Development,9999-01-01
37478,Kenton,Mahmud,Production,9999-01-01
37496,Danny,Tchuente,Marketing,9999-01-01
37501,Mona,Syang,Human Resources,9999-01-01
37504,Mack,Maquelin,Development,9999-01-01
37507,Kamran,Quittner,Marketing,9999-01-01
37507,Kamran,Quittner,Sales,2002-03-26
37516,Leon,Syrzycki,Finance,9999-01-01
37518,Nahum,Rassart,Development,9999-01-01
37546,Debaprosad,Menhardt,Quality Management,9999-01-01
37562,Bingning,Eugenio,Human Resources,9999-01-01
37577,Mansur,Narwekar,Sales,9999-01-01
37600,Kerhong,Engelmann,Sales,9999-01-01
37608,Kasturi,Linnainmaa,Production,9999-01-01
37612,Etsuo,Sridhar,Development,9999-01-01
37617,Joydip,Tagansky,Research,9999-01-01
37619,Xuedong,DuCasse,Marketing,9999-01-01
37620,Xinyu,Morton,Customer Service,9999-01-01
37624,Jianhua,Bahi,Production,9999-01-01
37627,Jasminko,Ladret,Sales,9999-01-01
37635,Barun,Sooriamurthi,Production,9999-01-01
37644,Martina,Zweizig,Customer Service,9999-01-01
37648,Sreenivas,Luef,Sales,9999-01-01
37659,Florina,Armand,Development,9999-01-01
37662,Xiadong,Schurmann,Customer Service,9999-01-01
37664,Dines,Sundgren,Quality Management,9999-01-01
37674,Vitali,Sinitsyn,Sales,9999-01-01
37675,Chikara,Marshall,Development,9999-01-01
37680,Shalesh,McDermid,Finance,9999-01-01
37712,Aris,Takkinen,Human Resources,9999-01-01
37716,Gill,Hutton,Development,9999-01-01
37717,Arunachalam,Lichtman,Sales,9999-01-01
37720,True,Samarati,Development,9999-01-01
37724,Owen,Gronowski,Human Resources,9999-01-01
37735,Magy,Larfeldt,Quality Management,9999-01-01
37745,Sivanarayana,Kriebel,Production,9999-01-01
37751,Jacopo,DuBourdieux,Sales,9999-01-01
37768,Taizo,Carrere,Production,9999-01-01
37777,Gaurav,Vidal,Production,9999-01-01
37791,Ebbe,Schaaf,Development,9999-01-01
37792,Shem,Esteva,Development,9999-01-01
37807,Apostol,Douceur,Production,9999-01-01
37813,Paddy,Kamble,Finance,9999-01-01
37814,Adel,Salvesen,Sales,9999-01-01
37822,Gou,Huhdanpaa,Quality Management,9999-01-01
37832,Jaber,Choobineh,Development,9999-01-01
37840,Vidar,Georg,Quality Management,9999-01-01
37850,Bikash,Underwood,Development,9999-01-01
37851,Lidong,Vecchi,Development,9999-01-01
37852,Christophe,Lunt,Production,9999-01-01
37862,Barun,Masaki,Human Resources,9999-01-01
37864,Inderjeet,Chinin,Quality Management,9999-01-01
37871,Bernice,Reghbati,Production,9999-01-01
37881,Sedat,Falster,Marketing,9999-01-01
37882,Alexius,Mellouli,Sales,9999-01-01
37887,Limsoon,Molberg,Development,9999-01-01
37891,Sumali,Munro,Development,9999-01-01
37896,Kristinn,Hebert,Production,9999-01-01
37900,Maia,Thummel,Finance,9999-01-01
37910,Kwangyoen,Danley,Development,9999-01-01
37914,Yinlin,Rosch,Production,9999-01-01
37914,Yinlin,Rosch,Development,1988-07-27
37937,Xiahua,Pero,Sales,9999-01-01
37948,Jayson,Zykh,Sales,9999-01-01
37970,Cathie,Woycyznski,Sales,9999-01-01
37975,Garnet,Onuegbe,Development,9999-01-01
37999,Niclas,Shumilov,Marketing,9999-01-01
38014,Nigel,Scallan,Finance,9999-01-01
38015,Sorina,Basart,Human Resources,9999-01-01
38019,Charlene,Yoshimura,Sales,9999-01-01
38037,Georg,Angot,Production,9999-01-01
38057,Nadjib,Velardi,Customer Service,9999-01-01
38076,Kiyotoshi,Flowers,Sales,9999-01-01
38084,Horward,Zongker,Production,9999-01-01
38114,Leen,Lukaszewicz,Development,9999-01-01
38117,Stevo,Hiraishi,Sales,9999-01-01
38123,Kien,Cummings,Sales,9999-01-01
38146,Paddy,Plavsic,Finance,9999-01-01
38156,Akeel,Honglei,Customer Service,9999-01-01
38157,Hideo,Soicher,Human Resources,9999-01-01
38191,Huei,Suomi,Marketing,9999-01-01
38196,Munehiko,Khamsi,Development,9999-01-01
38204,Jianwen,Azadmanesh,Sales,9999-01-01
38207,Shigeu,Ciolek,Research,9999-01-01
38220,Maya,Terkki,Finance,9999-01-01
38226,Manu,Rodiger,Development,9999-01-01
38243,Herbert,Barreiro,Development,9999-01-01
38244,Phillip,Madeira,Marketing,9999-01-01
38252,Tadahiro,Benzaken,Sales,9999-01-01
38266,Gila,Conte,Quality Management,9999-01-01
38267,Abdelghani,Armand,Development,9999-01-01
38268,Maris,Imataki,Development,1998-10-22
38268,Maris,Imataki,Research,9999-01-01
